"hpId";"scheme";"Accuracy";"Kappa";"AccuracyNull";"McnemarPValue";"Precision_a";"Recall_a";"F1_a";"Prevalence_a";"BalancedAccuracy_a";"Precision_c";"Recall_c";"F1_c";"Prevalence_c";"BalancedAccuracy_c";"Precision_p";"Recall_p";"F1_p";"Prevalence_p";"BalancedAccuracy_p"
1;"backward_simple_a";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_simple_b";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_simple_c";0.232558139534884;0;0.534883720930233;NA;0.232558139534884;1;0.377358490566038;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.534883720930233;0.5
1;"backward_d_prod_1e-01";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-02";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-03";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-04";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-05";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-06";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-07";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_prod_1e-08";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-01";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-02";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-03";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-04";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-05";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-06";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-07";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
1;"backward_d_sum_1e-08";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
3;"forward_simple_a";0.465116279069767;0.151072961373391;0.581395348837209;0.00101689772377002;0.260869565217391;0.75;0.387096774193548;0.186046511627907;0.632142857142857;NA;0;NA;0.232558139534884;0.5;0.7;0.56;0.622222222222222;0.581395348837209;0.613333333333333
3;"forward_simple_b";0.488372093023256;0.222039473684211;0.581395348837209;0.000375428188990641;0.269230769230769;0.875;0.411764705882353;0.186046511627907;0.666071428571429;NA;0;NA;0.232558139534884;0.5;0.823529411764706;0.56;0.666666666666667;0.581395348837209;0.696666666666667
3;"forward_simple_c";0.232558139534884;0;0.581395348837209;NA;NA;0;NA;0.186046511627907;0.5;0.232558139534884;1;0.377358490566038;0.232558139534884;0.5;NA;0;NA;0.581395348837209;0.5
3;"forward_d_prod_1e-01";0.395348837209302;-0.0864917395529641;0.581395348837209;0.00657403702339137;0.2;0.375;0.260869565217391;0.186046511627907;0.516071428571429;NA;0;NA;0.232558139534884;0.5;0.5;0.56;0.528301886792453;0.581395348837209;0.391111111111111
3;"forward_d_prod_1e-02";0.488372093023256;0.137648131267092;0.581395348837209;0.00463660543804172;0.263157894736842;0.625;0.37037037037037;0.186046511627907;0.6125;NA;0;NA;0.232558139534884;0.5;0.666666666666667;0.64;0.653061224489796;0.581395348837209;0.597777777777778
3;"forward_d_prod_1e-03";0.465116279069767;0.125552608311229;0.581395348837209;0.00101689772377002;0.285714285714286;0.75;0.413793103448276;0.186046511627907;0.660714285714286;NA;0;NA;0.232558139534884;0.5;0.636363636363636;0.56;0.595744680851064;0.581395348837209;0.557777777777778
3;"forward_d_prod_1e-04";0.465116279069767;0.138501742160279;0.581395348837209;0.00101689772377002;0.272727272727273;0.75;0.4;0.186046511627907;0.646428571428571;NA;0;NA;0.232558139534884;0.5;0.666666666666667;0.56;0.608695652173913;0.581395348837209;0.585555555555556
3;"forward_d_prod_1e-05";0.465116279069767;0.151072961373391;0.581395348837209;0.00101689772377002;0.260869565217391;0.75;0.387096774193548;0.186046511627907;0.632142857142857;NA;0;NA;0.232558139534884;0.5;0.7;0.56;0.622222222222222;0.581395348837209;0.613333333333333
3;"forward_d_prod_1e-06";0.465116279069767;0.151072961373391;0.581395348837209;0.00101689772377002;0.260869565217391;0.75;0.387096774193548;0.186046511627907;0.632142857142857;NA;0;NA;0.232558139534884;0.5;0.7;0.56;0.622222222222222;0.581395348837209;0.613333333333333
3;"forward_d_prod_1e-07";0.465116279069767;0.151072961373391;0.581395348837209;0.00101689772377002;0.260869565217391;0.75;0.387096774193548;0.186046511627907;0.632142857142857;NA;0;NA;0.232558139534884;0.5;0.7;0.56;0.622222222222222;0.581395348837209;0.613333333333333
3;"forward_d_prod_1e-08";0.465116279069767;0.151072961373391;0.581395348837209;0.00101689772377002;0.260869565217391;0.75;0.387096774193548;0.186046511627907;0.632142857142857;NA;0;NA;0.232558139534884;0.5;0.7;0.56;0.622222222222222;0.581395348837209;0.613333333333333
3;"forward_d_sum_1e-01";0.395348837209302;-0.0864917395529641;0.581395348837209;0.00657403702339137;0.2;0.375;0.260869565217391;0.186046511627907;0.516071428571429;NA;0;NA;0.232558139534884;0.5;0.5;0.56;0.528301886792453;0.581395348837209;0.391111111111111
3;"forward_d_sum_1e-02";0.465116279069767;0.112208258527828;0.581395348837209;0.00323670650323545;0.25;0.625;0.357142857142857;0.186046511627907;0.598214285714286;NA;0;NA;0.232558139534884;0.5;0.652173913043478;0.6;0.625;0.581395348837209;0.577777777777778
3;"forward_d_sum_1e-03";0.488372093023256;0.211009174311927;0.581395348837209;0.000375428188990641;0.28;0.875;0.424242424242424;0.186046511627907;0.680357142857143;NA;0;NA;0.232558139534884;0.5;0.777777777777778;0.56;0.651162790697674;0.581395348837209;0.668888888888889
3;"forward_d_sum_1e-04";0.488372093023256;0.222039473684211;0.581395348837209;0.000375428188990641;0.269230769230769;0.875;0.411764705882353;0.186046511627907;0.666071428571429;NA;0;NA;0.232558139534884;0.5;0.823529411764706;0.56;0.666666666666667;0.581395348837209;0.696666666666667
3;"forward_d_sum_1e-05";0.488372093023256;0.222039473684211;0.581395348837209;0.000375428188990641;0.269230769230769;0.875;0.411764705882353;0.186046511627907;0.666071428571429;NA;0;NA;0.232558139534884;0.5;0.823529411764706;0.56;0.666666666666667;0.581395348837209;0.696666666666667
3;"forward_d_sum_1e-06";0.488372093023256;0.222039473684211;0.581395348837209;0.000375428188990641;0.269230769230769;0.875;0.411764705882353;0.186046511627907;0.666071428571429;NA;0;NA;0.232558139534884;0.5;0.823529411764706;0.56;0.666666666666667;0.581395348837209;0.696666666666667
3;"forward_d_sum_1e-07";0.488372093023256;0.222039473684211;0.581395348837209;0.000375428188990641;0.269230769230769;0.875;0.411764705882353;0.186046511627907;0.666071428571429;NA;0;NA;0.232558139534884;0.5;0.823529411764706;0.56;0.666666666666667;0.581395348837209;0.696666666666667
3;"forward_d_sum_1e-08";0.488372093023256;0.222039473684211;0.581395348837209;0.000375428188990641;0.269230769230769;0.875;0.411764705882353;0.186046511627907;0.666071428571429;NA;0;NA;0.232558139534884;0.5;0.823529411764706;0.56;0.666666666666667;0.581395348837209;0.696666666666667
3;"backward_simple_a";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
3;"backward_simple_b";0.534883720930233;0;0.534883720930233;NA;NA;0;NA;0.232558139534884;0.5;NA;0;NA;0.232558139534884;0.5;0.534883720930233;1;0.696969696969697;0.534883720930233;0.5
